alpha,CL,CD,CM
-30,-1.1274,0.3602,0.165
-29,-1.0997,0.35045,0.1529
-28,-1.0709,0.3398,0.1443
-27,-1.0432,0.3311,0.131
-26,-1.0106,0.31802,0.1242
-25,-0.983,0.309,0.1109
-24,-0.9474,0.29507,0.1049
-23,-0.9209,0.2847,0.0918
-22,-0.8827,0.27092,0.0865
-21,-0.8529,0.25805,0.0762
-20,-0.8196,0.2458,0.0679
-19,-0.7871,0.23235,0.0604
-18,-0.7696,0.21924,0.0481
-17,-0.7351,0.20584,0.0422
-16,-0.7017,0.19107,0.0371
-15,-0.6843,0.17587,0.0289
-14,-0.4982,0.14737,0.0023
-13,-0.4899,0.13594,0.0007
-12,-0.4989,0.12212,-0.0032
-11,-1.0159,0.04841,-0.0268
-10,-0.9985,0.03684,-0.0182
-9,-0.928,0.02988,-0.0133
-8,-0.8452,0.02488,-0.0091
-7,-0.7638,0.02079,-0.0041
-6,-0.6894,0.01742,0.0021
-5,-0.6152,0.01492,0.0084
-4,-0.5353,0.01346,0.0141
-3,-0.4499,0.01267,0.0193
-2,-0.3639,0.0125,0.0247
-1,-0.2373,0.01337,0.023
0,0,0.01423,0
1,0.2373,0.01337,-0.023
2,0.3639,0.0125,-0.0247
3,0.4499,0.01266,-0.0193
4,0.5352,0.01346,-0.0141
5,0.6152,0.01492,-0.0084
6,0.6894,0.01742,-0.0021
7,0.7637,0.02079,0.0041
8,0.8452,0.02488,0.0091
9,0.928,0.02988,0.0133
10,0.9986,0.03685,0.0182
11,1.0161,0.04842,0.0268
12,0.9383,0.06432,0.0347
13,0.8059,0.09985,0.0137
14,0.4968,0.147,-0.0021
15,0.5237,0.15916,-0.0028
16,0.5007,0.16558,-0.0092
17,0.4971,0.17526,-0.0152
18,0.5093,0.18577,-0.0195
20,0.536,0.20621,-0.029
21,0.5517,0.21713,-0.0336
22,0.568,0.22754,-0.0383
23,0.5794,0.23874,-0.0439
24,0.6013,0.25083,-0.0475
25,0.6078,0.26122,-0.0542
26,0.6266,0.27366,-0.0581
27,0.6341,0.28426,-0.0647
29,0.6575,0.30776,-0.0754
30,0.67,0.31958,-0.0801
