alpha,CL,CD,CM
-30,-1.064,0.35005,0.143
-28,-1.0104,0.33679,0.1223
-26,-0.9465,0.31276,0.1048
-24,-0.8928,0.30207,0.0858
-22,-0.8248,0.27753,0.0706
-20,-0.7487,0.24865,0.0574
-19.5,-0.7403,0.24812,0.0536
-19,-0.7121,0.23654,0.0513
-18.5,-0.6956,0.23066,0.0483
-18,-0.6882,0.22893,0.045
-17.5,-0.6685,0.22219,0.0426
-17,-0.6455,0.21381,0.0403
-16.5,-0.6252,0.20655,0.038
-16,-0.6073,0.20022,0.0358
-15.5,-0.5899,0.19393,0.0338
-15,-0.5727,0.1878,0.032
-14.5,-0.5565,0.18182,0.0304
-14,-0.5454,0.17705,0.0292
-13.5,-0.5391,0.17307,0.0285
-13,-0.5039,0.16219,0.0264
-12.5,-0.4899,0.15668,0.0258
-12,-0.4714,0.14957,0.0249
-11.5,-0.455,0.14361,0.0245
-11,-0.4269,0.13525,0.023
-10.5,-0.4069,0.12842,0.0223
-10,-0.3855,0.1216,0.0215
-9.75,-0.3738,0.11811,0.0209
-8,-0.4662,0.09156,0.0124
-7.5,-0.4498,0.08465,0.0123
-7,-0.4326,0.07855,0.0129
-6.5,-0.4123,0.07305,0.0138
-6,-0.389,0.06811,0.015
-5.5,-0.3669,0.06364,0.0166
-5,-0.3121,0.05961,0.0149
-4.5,-0.2558,0.05572,0.0122
-4,-0.1889,0.05179,0.0068
-3.5,-0.1112,0.04772,-0.0016
-3,0.0106,0.04219,-0.02
-2.5,0.0542,0.03912,-0.025
-2,0.0625,0.03748,-0.023
-1.5,0.0627,0.03629,-0.0196
-1,0.0525,0.03554,-0.0145
-0.5,0.0301,0.0352,-0.0077
0,0,0.03511,0
0.5,-0.0301,0.03519,0.0077
1,-0.0525,0.03553,0.0145
1.5,-0.0627,0.03628,0.0196
2,-0.0625,0.03747,0.023
2.5,-0.0541,0.03911,0.025
3,-0.0105,0.04217,0.02
3.5,0.1114,0.0477,0.0016
4,0.1892,0.05177,-0.0069
4.5,0.2562,0.0557,-0.0122
5,0.3125,0.05959,-0.015
5.5,0.3672,0.06361,-0.0166
6,0.3894,0.06809,-0.0151
6.5,0.413,0.07302,-0.0139
7,0.4331,0.07853,-0.0129
7.5,0.4388,0.08486,-0.0122
8,0.4423,0.09197,-0.0125
8.5,0.4502,0.10065,-0.015
10,0.3869,0.12164,-0.0217
10.5,0.4082,0.12846,-0.0225
11,0.4282,0.13529,-0.0232
11.5,0.456,0.14362,-0.0248
12,0.4731,0.14972,-0.0251
12.5,0.4909,0.15672,-0.0261
13,0.5054,0.16234,-0.0267
13.5,0.5401,0.17311,-0.0287
14,0.5464,0.17713,-0.0294
14.5,0.5577,0.18197,-0.0306
15,0.574,0.18801,-0.0323
15.5,0.5913,0.1942,-0.0341
16,0.6087,0.20051,-0.0361
16.5,0.6265,0.20687,-0.0383
17,0.6467,0.21413,-0.0406
17.5,0.6696,0.22251,-0.0429
18,0.6903,0.22977,-0.0453
18.5,0.6972,0.23131,-0.0486
19,0.7136,0.23717,-0.0517
19.5,0.7415,0.24867,-0.054
20,0.7505,0.24959,-0.0578
22,0.8262,0.27853,-0.071
24,0.8944,0.30357,-0.0863
26,0.9488,0.31534,-0.1053
28,1.0127,0.33987,-0.1231
30,1.0669,0.35448,-0.1438
