Alpha,Cl,Cd,Cm
-10,-0.9927,0.01165,-0.0042
-9,-0.8876,0.01036,-0.0027
-8,-0.7801,0.00929,-0.0015
-6,-0.5607,0.00752,0.0001
-5,-0.448,0.00701,0.0003
-4,-0.3338,0.00665,0.0002
-3,-0.2189,0.00642,0
-2,-0.1042,0.00633,-0.0004
-1,0.0099,0.00675,-0.001
0,0.1234,0.00713,-0.0014
1,0.2344,0.00679,-0.0013
2,0.3362,0.00568,0.0003
3,0.4417,0.00528,0.002
4,0.5827,0.00583,-0.0048
5,0.7045,0.00631,-0.0073
6,0.8293,0.0068,-0.0107
7,0.9547,0.0073,-0.0144
8,1.077,0.00789,-0.0177
9,1.1941,0.00878,-0.0201
10,1.3058,0.01005,-0.0217
