Alpha,Cl,Cd,Cm
-10,-0.9863,0.01226,-0.0054
-9,-0.8822,0.01089,-0.0037
-7,-0.6678,0.00861,-0.0013
-6,-0.5571,0.00788,-0.0007
-5,-0.4443,0.0074,-0.0005
-4,-0.3304,0.00703,-0.0005
-3,-0.2157,0.00678,-0.0007
-2,-0.1014,0.00649,-0.0009
-1,0.0126,0.00677,-0.0013
0,0.1252,0.00734,-0.0018
1,0.233,0.00672,-0.0012
2,0.3233,0.00519,0.0032
3,0.4562,0.00568,-0.0014
4,0.5969,0.00621,-0.008
5,0.7171,0.00673,-0.0102
6,0.8432,0.00723,-0.014
7,0.9685,0.00777,-0.0177
8,1.0902,0.00836,-0.0208
9,1.2087,0.00911,-0.0235
10,1.3026,0.01048,-0.0213
