Alpha,Cl,Cd,Cm
-10,-0.3304,0.12067,0.0112
-9,-0.2425,0.10148,0.0019
-8,-0.1202,0.07866,-0.0218
-7,-0.4218,0.0864,-0.002
-6,-0.4911,0.07002,-0.0068
-5,-0.4828,0.05551,-0.0056
-4,-0.4387,0.04427,-0.0012
-3,-0.3821,0.03753,0.0146
-1,-0.1017,0.02979,-0.0164
0,-0.0441,0.03123,-0.0131
1,0.0182,0.03374,-0.0116
2,0.0803,0.0373,-0.0115
3,0.1405,0.04189,-0.0125
4,0.1976,0.04757,-0.0144
5,0.2502,0.05447,-0.0171
6,0.2977,0.06272,-0.0206
7,0.3401,0.07245,-0.0249
8,0.3779,0.08372,-0.0299
9,0.4121,0.09654,-0.0355
10,0.5313,0.12156,-0.0594
