Alpha,Cl,Cd,Cm
-20,-0.5323,0.21213,0.0293
-19,-0.518,0.20222,0.025
-18,-0.5056,0.19283,0.0207
-17,-0.4882,0.18264,0.0173
-16,-0.4732,0.17307,0.0142
-15,-0.4747,0.16687,0.0108
-14,-0.4521,0.15485,0.0092
-13,-0.477,0.15122,0.0077
-12,-0.4595,0.13847,0.007
-11,-0.4592,0.12637,0.0067
-10,-0.4566,0.11216,0.0066
-9,-0.7847,0.04802,-0.0236
-8,-0.7905,0.03165,-0.0153
-7,-0.7388,0.02185,-0.008
-6,-0.6708,0.01548,-0.0007
-5,-0.602,0.01132,0.0087
-4,-0.5307,0.00919,0.0203
-3,-0.4511,0.00863,0.0325
-2,-0.2997,0.00968,0.0314
-1,-0.0145,0.00951,-0.0026
0,0,0.01046,0
1,-0.0281,0.02173,0.0154
2,0.1757,0.02475,-0.0095
3,0.4467,0.02357,-0.0333
4,0.5427,0.02302,-0.022
5,0.619,0.02429,-0.0099
6,0.6914,0.02783,-0.0004
7,0.768,0.03379,0.0062
8,0.834,0.04274,0.0124
9,0.8566,0.05638,0.0192
10,0.6577,0.0913,0.0063
11,0.4588,0.12622,-0.0066
12,0.459,0.13828,-0.0069
13,0.4763,0.15099,-0.0076
14,0.4509,0.1545,-0.009
15,0.4738,0.16657,-0.0107
16,0.4721,0.1727,-0.014
17,0.4869,0.18223,-0.0172
18,0.5042,0.19236,-0.0205
19,0.5166,0.20174,-0.0248
20,0.5309,0.21164,-0.0291
