Alpha,Cl,Cd,Cm
-10,-0.4377,0.1178,-0.0082
-9,-0.4193,0.10516,-0.0084
-7,-0.5878,0.05416,-0.0362
-6,-0.5555,0.03969,-0.032
-5,-0.4829,0.03184,-0.0276
-4,-0.3988,0.02694,-0.0236
-3,-0.3114,0.02345,-0.0193
-2,-0.2499,0.02149,-0.0051
-1,-0.1239,0.02204,-0.0148
0,-0.0586,0.02418,-0.0139
1,0.1328,0.02834,-0.0352
2,0.2968,0.03136,-0.0485
3,0.4417,0.03368,-0.0558
4,0.586,0.03479,-0.0593
5,0.7309,0.03381,-0.0581
6,0.8508,0.03255,-0.0514
7,0.9592,0.03075,-0.042
8,1.025,0.03288,-0.0304
9,1.0977,0.04022,-0.024
10,1.1525,0.05084,-0.0178
