Alpha,Cl,Cd,Cm
-10.0,-0.9657,0.01413,-0.0095
-9.0,-0.8661,0.01239,-0.007
-8.0,-0.7631,0.01083,-0.0051
-7.0,-0.6558,0.00983,-0.0039
-6.0,-0.5451,0.00919,-0.0033
-5.0,-0.4334,0.00863,-0.0028
-4.0,-0.3201,0.00829,-0.0027
-3.0,-0.2077,0.00773,-0.0025
-2.0,-0.0946,0.00722,-0.0023
-1.0,0.0194,0.00697,-0.0024
0.0,0.1305,0.00732,-0.0025
1.0,0.2217,0.00596,0.0007
2.0,0.3551,0.00609,-0.0037
3.0,0.507,0.00679,-0.0127
4.0,0.6312,0.00729,-0.0157
5.0,0.7603,0.00777,-0.0201
6.0,0.8852,0.00829,-0.0236
7.0,1.0036,0.00888,-0.0259
8.0,1.101,0.00956,-0.0237
9.0,1.1975,0.01026,-0.0215
10.0,1.2906,0.01121,-0.0188
