Alpha,Cl,Cd,Cm
-10,-0.983,0.01262,-0.0061
-9,-0.8793,0.01119,-0.0043
-8,-0.7738,0.00987,-0.0028
-7,-0.6664,0.00875,-0.0016
-6,-0.5554,0.00807,-0.0011
-5,-0.4426,0.00759,-0.0008
-4,-0.3289,0.0072,-0.0008
-3,-0.2141,0.00696,-0.001
-2,-0.1002,0.0066,-0.0011
-1,0.0138,0.00673,-0.0015
0,0.126,0.0074,-0.0019
1,0.2319,0.00664,-0.001
2,0.3251,0.00523,0.0029
3,0.4633,0.00585,-0.003
4,0.6023,0.00638,-0.0093
5,0.7236,0.00688,-0.0117
6,0.8493,0.00741,-0.0154
7,0.9746,0.00795,-0.0192
8,1.0964,0.00853,-0.0223
9,1.2103,0.00925,-0.0239
10,1.3,0.01065,-0.0208
