Alpha,Cl,Cd,Cm
-10.0,-0.3601,0.12295,0.0111
-9.0,-0.3036,0.10797,0.0099
-8.0,-0.205,0.08823,-0.0019
-7.0,-0.4454,0.08412,-0.0061
-6.0,-0.4989,0.06668,-0.0114
-5.0,-0.491,0.05103,-0.013
-4.0,-0.4319,0.0412,-0.0074
-3.0,-0.3739,0.03489,0.0067
-2.0,-0.1215,0.02889,-0.0243
-1.0,-0.1045,0.02861,-0.0161
0.0,-0.0462,0.03012,-0.0131
1.0,0.0168,0.03272,-0.0118
2.0,0.0794,0.03637,-0.012
3.0,0.14,0.04104,-0.0131
4.0,0.1972,0.04679,-0.0151
5.0,0.25,0.05376,-0.018
6.0,0.3867,0.06693,-0.0384
7.0,0.4898,0.07981,-0.0501
8.0,0.527,0.09338,-0.0547
9.0,0.611,0.10813,-0.058
10.0,0.5761,0.1256,-0.0645
