Alpha,Cl,Cd,Cm
-10,-1.0768,0.01169,0.0043
-9,-0.9671,0.01081,0.0042
-8,-0.8556,0.01009,0.0038
-7,-0.7425,0.00966,0.0033
-6,-0.6314,0.00769,0.0029
-5,-0.5166,0.00686,0.0022
-4,-0.4006,0.00623,0.0012
-3,-0.2832,0.00584,-0.0001
-2,-0.1642,0.00575,-0.0018
-1,-0.0439,0.00595,-0.0042
0,0.0762,0.00581,-0.0068
1,0.196,0.00489,-0.0097
2,0.3142,0.00492,-0.0115
3,0.4316,0.00514,-0.013
4,0.5484,0.00538,-0.0144
5,0.6642,0.00573,-0.0157
6,0.7778,0.00652,-0.0168
7,0.8898,0.00734,-0.0176
8,1.0004,0.0082,-0.0182
9,1.1086,0.00912,-0.0184
10,1.2144,0.01008,-0.0183
