Alpha,Cl,Cd,Cm
-10.0,-0.4697,0.10582,-0.0209
-9.0,-0.4886,0.09146,-0.0279
-8.0,-0.5411,0.07536,-0.0327
-7.0,-0.6375,0.03307,-0.035
-6.0,-0.5661,0.02625,-0.0296
-5.0,-0.4795,0.02206,-0.0259
-4.0,-0.3902,0.01956,-0.0234
-3.0,-0.3019,0.01817,-0.0217
-2.0,-0.1396,0.01687,-0.0322
-1.0,0.0906,0.01715,-0.0523
0.0,0.272,0.01646,-0.0668
1.0,0.4068,0.01563,-0.0697
2.0,0.5138,0.01525,-0.0663
3.0,0.6117,0.01549,-0.0616
4.0,0.7094,0.01611,-0.0571
5.0,0.8042,0.01692,-0.0524
6.0,0.8935,0.01789,-0.0469
7.0,0.9695,0.01924,-0.0398
8.0,1.0204,0.02332,-0.0303
9.0,1.0868,0.02872,-0.0239
10.0,1.1759,0.03508,-0.0213
