Alpha,Cl,Cd,Cm
-180,-3.6,0.0093,-0.005
-170,-3.4,0.0096,-0.005
-160,-3.2,0.01,-0.005
-150,-3,0.0106,-0.005
-140,-2.8,0.0113,-0.005
-130,-2.6,0.01166,-0.005
-120,-2.4,0.01216,-0.005
-110,-2.2,0.01266,-0.005
-100,-2,0.01316,-0.005
-90,-1.8,0.01366,-0.005
-80,-1.6,0.01416,-0.005
-70,-1.4,0.01466,-0.005
-60,-1.2,0.01516,-0.005
-50,-1,0.01566,-0.005
-40,-0.8,0.01616,-0.005
-30,-0.6,0.01666,-0.005
-20,-0.4,0.01716,-0.005
-10,-0.2,0.01766,-0.005
0,0,0.01816,-0.005
10,0.2,0.01766,-0.005
20,0.4,0.01716,-0.005
30,0.6,0.01666,-0.005
40,0.8,0.01616,-0.005
50,1,0.01566,-0.005
60,1.2,0.01516,-0.005
70,1.4,0.01466,-0.005
80,1.6,0.01416,-0.005
90,1.8,0.01366,-0.005
100,2,0.01316,-0.005
110,2.2,0.01266,-0.005
120,2.4,0.01216,-0.005
130,2.6,0.01166,-0.005
140,2.8,0.0113,-0.005
150,3,0.0106,-0.005
160,3.2,0.01,-0.005
170,3.4,0.0096,-0.005
180,3.6,0.0093,-0.005
