Alpha,Cl,Cd,Cm
-10,-0.4064,0.12263,0.0025
-9,-0.3742,0.10955,0.0037
-8,-0.3382,0.09672,0.0059
-7,-0.3144,0.08412,0.0062
-6,-0.5416,0.05233,-0.0276
-5,-0.4879,0.04082,-0.0243
-4,-0.412,0.03327,-0.0196
-3,-0.336,0.02852,-0.0109
-2,-0.1194,0.0257,-0.0242
-1,-0.1134,0.02529,-0.0154
0,-0.052,0.02707,-0.0132
1,0.0127,0.02995,-0.0128
2,0.0766,0.03386,-0.0135
3,0.2177,0.04072,-0.0294
4,0.3677,0.04775,-0.0441
5,0.5027,0.05429,-0.0528
6,0.5982,0.06088,-0.0538
7,0.7166,0.06561,-0.0514
8,0.9536,0.05172,-0.0344
9,1.0246,0.05694,-0.0234
10,0.9101,0.0831,-0.0209
