alpha,CL,CD,CM
-30,-0.6675,0.32309,0.0797
-29,-0.6596,0.3128,0.0737
-28,-0.6458,0.29948,0.069
-27,-0.6372,0.28982,0.0629
-26,-0.6209,0.27629,0.0585
-25,-0.6151,0.26884,0.052
-24,-0.5929,0.25372,0.0483
-23,-0.5903,0.24727,0.0416
-22,-0.5644,0.2324,0.0383
-21,-0.549,0.22133,0.0336
-20,-0.5463,0.21468,0.0276
-19,-0.5264,0.20338,0.0239
-18,-0.5066,0.19187,0.0203
-17,-0.4904,0.18152,0.0167
-16,-0.4807,0.17265,0.0129
-15,-0.4881,0.16695,0.0091
-13,-0.4609,0.14549,0.0062
-12,-0.4512,0.13388,0.005
-11,-0.4619,0.12196,0.0036
-10,-0.4609,0.10756,0.0029
-9,-0.8383,0.03899,-0.0218
-8,-0.8097,0.02615,-0.0137
-7,-0.7426,0.01851,-0.0075
-6,-0.6709,0.01289,-0.0008
-5,-0.6022,0.00906,0.0076
-4,-0.5317,0.00699,0.0175
-3,-0.4589,0.0061,0.0285
-2,-0.3741,0.00621,0.0377
-1,-0.1678,0.00784,0.0212
0,0,0.01213,0
1,-0.0074,0.02072,0.011
2,0.3138,0.02137,-0.0298
3,0.4622,0.01995,-0.0301
4,0.542,0.02014,-0.0186
5,0.617,0.02169,-0.0085
6,0.6892,0.02509,-0.0001
7,0.7688,0.03039,0.0058
8,0.8474,0.03779,0.0109
9,0.8881,0.0494,0.0184
10,0.8359,0.06856,0.0248
11,0.5954,0.1283,-0.0185
12,0.6091,0.14317,-0.0212
13,0.6536,0.1604,-0.0221
14,0.6442,0.17126,-0.0291
15,0.6777,0.18595,-0.0328
16,0.7204,0.20451,-0.0364
17,0.7486,0.21921,-0.0424
18,0.7786,0.23364,-0.0488
19,0.7885,0.23829,-0.06
20,0.8172,0.25017,-0.069
21,0.8516,0.26396,-0.0765
22,0.8895,0.27862,-0.0831
23,0.915,0.28679,-0.0948
24,0.9548,0.30586,-0.1004
25,0.9797,0.31018,-0.1132
26,1.013,0.32472,-0.1212
27,1.0416,0.33257,-0.1328
28,1.0726,0.34621,-0.1413
29,1.1002,0.35386,-0.1531
