alpha,CL,CD,CM
-30,-0.6693,0.32237,0.0798
-29,-0.6575,0.31048,0.0748
-28,-0.6498,0.29974,0.0686
-27,-0.634,0.28698,0.0641
-26,-0.6256,0.27657,0.0579
-25,-0.6076,0.26398,0.0537
-24,-0.5964,0.25307,0.048
-23,-0.5798,0.24197,0.0433
-22,-0.5649,0.23071,0.0384
-21,-0.5638,0.22494,0.0318
-20,-0.5338,0.20969,0.0291
-19,-0.5204,0.19935,0.0244
-18,-0.5263,0.19388,0.0181
-17,-0.5178,0.18551,0.014
-16,-0.4983,0.17359,0.0109
-15,-0.4954,0.1649,0.0075
-14,-0.5144,0.15888,0.0044
-13,-0.4691,0.14244,0.0042
-12,-0.4687,0.13151,0.0023
-11,-0.4787,0.11767,0
-10,-0.8476,0.04776,-0.0297
-9,-0.8679,0.03117,-0.0197
-8,-0.8138,0.0219,-0.013
-7,-0.7422,0.01522,-0.0071
-6,-0.6683,0.0104,-0.0009
-5,-0.601,0.00703,0.007
-4,-0.5305,0.00521,0.0154
-3,-0.4565,0.00431,0.0242
-2,-0.3851,0.0041,0.034
-1,-0.2718,0.00491,0.0348
0,0.0001,0.00693,0
1,0.2721,0.0049,-0.0349
2,0.385,0.00407,-0.034
3,0.4565,0.00427,-0.0242
4,0.5304,0.00515,-0.0154
5,0.6009,0.00696,-0.007
6,0.6682,0.01031,0.0009
7,0.7421,0.01512,0.0071
8,0.8469,0.03341,0.0106
9,0.9173,0.04201,0.0157
10,0.9136,0.05667,0.0249
11,0.8135,0.07847,0.027
12,0.6624,0.1408,-0.0127
13,0.6328,0.15445,-0.0222
14,0.6536,0.16846,-0.0265
15,0.6808,0.18301,-0.0311
17,0.7284,0.20995,-0.0448
18,0.7543,0.22302,-0.0531
19,0.7862,0.23651,-0.0605
20,0.8385,0.25845,-0.0631
21,0.8506,0.26149,-0.0771
22,0.8834,0.27441,-0.0856
23,0.9177,0.28673,-0.0936
24,0.9476,0.29796,-0.1043
25,0.9839,0.31299,-0.1109
26,1.0111,0.32112,-0.1235
27,1.0446,0.33584,-0.1306
28,1.0716,0.3432,-0.1435
29,1.1009,0.35424,-0.1528
30,1.1283,0.36421,-0.1641
