alpha,CL,CD,CM
-30,-1.1257,0.36149,0.1611
-29,-1.1027,0.36173,0.1485
-28,-1.0696,0.34252,0.1409
-27,-1.0458,0.34089,0.1287
-26,-1.0103,0.32312,0.1214
-25,-0.979,0.31196,0.1121
-24,-0.9557,0.31008,0.1008
-23,-0.9191,0.29426,0.0934
-22,-0.8839,0.2804,0.0858
-21,-0.8498,0.26782,0.0781
-20,-0.8195,0.25766,0.0702
-19,-0.7931,0.24884,0.0624
-18,-0.7505,0.23098,0.0572
-17,-0.724,0.22108,0.0509
-16,-0.6852,0.20549,0.0463
-15,-0.654,0.19248,0.0419
-14,-0.6285,0.18043,0.0384
-13,-0.5981,0.16616,0.0358
-12,-0.5803,0.15428,0.0347
-11,-0.5362,0.13761,0.0334
-10,-0.517,0.12486,0.0341
-9,-0.4795,0.10861,0.0321
-8,-0.7381,0.06597,-0.0064
-7,-0.7322,0.0501,-0.0022
-6,-0.676,0.04136,0.0072
-5,-0.5906,0.0386,0.0224
-4,-0.3947,0.03961,0.0255
-3,-0.057,0.03203,-0.0203
-2,-0.0184,0.02807,-0.0195
-1,0.0048,0.02579,-0.0131
0,0,0.02505,0
1,-0.0047,0.02579,0.0131
2,0.0185,0.02807,0.0195
3,0.0572,0.03202,0.0203
4,0.3949,0.0396,-0.0255
5,0.5906,0.03859,-0.0224
6,0.676,0.04136,-0.0072
7,0.7323,0.0501,0.0022
8,0.7382,0.06598,0.0063
10,0.5178,0.12484,-0.0342
11,0.5376,0.13768,-0.0336
12,0.5831,0.15467,-0.035
13,0.5999,0.16637,-0.036
14,0.6293,0.1805,-0.0387
15,0.6551,0.1927,-0.0422
16,0.6863,0.20578,-0.0465
17,0.7249,0.22135,-0.0512
18,0.7518,0.23154,-0.0574
19,0.7939,0.2493,-0.0627
20,0.8205,0.25839,-0.0705
21,0.8511,0.26884,-0.0785
22,0.8851,0.2816,-0.0862
23,0.9203,0.29561,-0.0938
25,0.9808,0.31424,-0.1126
26,1.012,0.32572,-0.1219
28,1.0717,0.34611,-0.1415
29,1.1045,0.36541,-0.1491
30,1.1281,0.36618,-0.1618
