Alpha,Cl,Cd,Cm
-10.0,-0.4825,0.12362,0.0356
-9.0,-0.4441,0.10854,0.034
-8.0,-0.6445,0.07978,0.0062
-7.0,-0.6869,0.05942,0.0044
-6.0,-0.6489,0.04882,0.0136
-5.0,-0.5033,0.04776,0.027
-4.0,-0.2361,0.04204,0.0056
-3.0,-0.0616,0.03316,-0.0206
-2.0,-0.0242,0.02935,-0.0192
-1.0,-0.0009,0.02718,-0.0124
0.0,-0.0,0.02648,-0.0
1.0,0.0009,0.02718,0.0124
2.0,0.0242,0.02935,0.0192
3.0,0.0618,0.03315,0.0206
4.0,0.2365,0.04203,-0.0057
5.0,0.5036,0.04775,-0.0271
6.0,0.6489,0.04881,-0.0136
7.0,0.687,0.05942,-0.0044
8.0,0.6287,0.08109,-0.0077
9.0,0.5858,0.10351,-0.0168
10.0,0.4836,0.12364,-0.0358
