alpha,CL,CD,CM
-20,-0.8339,0.25415,0.0632
-19.5,-0.8031,0.24083,0.0635
-19,-0.7846,0.23443,0.0605
-18.5,-0.7881,0.23343,0.0514
-18,-0.7555,0.22125,0.0521
-17.5,-0.7398,0.21505,0.0485
-17,-0.749,0.21202,0.0398
-16.5,-0.7106,0.20119,0.0415
-16,-0.7242,0.19884,0.0331
-15.5,-0.6864,0.18735,0.0343
-15,-0.6846,0.18187,0.0294
-14.5,-0.6656,0.17324,0.0278
-14,-0.6778,0.16821,0.0217
-13.5,-0.6468,0.15874,0.0224
-13,-0.6765,0.1526,0.0141
-12.5,-0.4886,0.13496,0.0007
-12.25,-0.4727,0.13194,0.0014
-11.5,-0.5679,0.10474,-0.0138
-11,-0.9457,0.06399,-0.0293
-10.5,-0.9735,0.05581,-0.0248
-10,-0.9529,0.04936,-0.0229
-9.5,-0.9418,0.04316,-0.019
-9,-0.9246,0.03789,-0.0145
-8.5,-0.8862,0.03388,-0.0125
-8,-0.8473,0.0303,-0.0101
-7.5,-0.8058,0.02738,-0.0077
-7,-0.764,0.02477,-0.0053
-6.5,-0.7237,0.02256,-0.0027
-6,-0.686,0.02061,0.0005
-5.5,-0.6501,0.01893,0.0039
-5,-0.6141,0.01764,0.0076
-4.5,-0.5766,0.01671,0.0113
-4,-0.5375,0.01604,0.0149
-3.5,-0.4972,0.01557,0.0187
-3,-0.4569,0.01528,0.0226
-2.5,-0.4169,0.01524,0.027
-2,-0.3767,0.01548,0.0317
-1.5,-0.3267,0.01606,0.0345
-1,-0.227,0.01698,0.027
-0.5,-0.0842,0.01752,0.0096
0,0,0.01746,0
0.5,0.0841,0.01752,-0.0096
1,0.2269,0.01698,-0.027
1.5,0.3267,0.01605,-0.0345
2,0.3766,0.01548,-0.0317
2.5,0.4169,0.01523,-0.027
3,0.4568,0.01528,-0.0226
3.5,0.4971,0.01557,-0.0187
4,0.5374,0.01604,-0.0149
4.5,0.5765,0.01671,-0.0113
5,0.6141,0.01764,-0.0076
5.5,0.6501,0.01893,-0.0039
6,0.686,0.02061,-0.0004
6.5,0.7237,0.02256,0.0027
7,0.764,0.02477,0.0053
7.5,0.8058,0.02737,0.0077
8,0.8473,0.0303,0.0101
8.5,0.8862,0.03388,0.0125
9,0.9247,0.03789,0.0145
9.5,0.9419,0.04316,0.019
10,0.9531,0.04936,0.0229
10.5,0.9737,0.05582,0.0248
11,0.9458,0.06401,0.0293
11.5,0.7108,0.10604,0.0057
12.25,0.4721,0.13175,-0.0014
12.5,0.4875,0.13475,-0.0007
13,0.6767,0.15268,-0.0145
13.5,0.6483,0.15885,-0.0226
14,0.6779,0.16827,-0.0221
14.5,0.6671,0.17339,-0.0281
15,0.6849,0.18195,-0.0298
15.5,0.6877,0.18758,-0.0346
16,0.7242,0.1989,-0.0336
16.5,0.7119,0.2015,-0.0418
17,0.752,0.21282,-0.0398
17.5,0.7409,0.21544,-0.0488
18,0.7569,0.22173,-0.0523
18.5,0.7884,0.23368,-0.0519
19,0.7859,0.23505,-0.0608
19.5,0.8045,0.24153,-0.0638
20,0.8346,0.25465,-0.0636
