Alpha,Cl,Cd,Cm
-15,-0.5647,0.18847,0.0348
-14,-0.5436,0.18043,0.0329
-13,-0.5016,0.16588,0.0306
-12,-0.4463,0.14868,0.0271
-11,-0.3991,0.1344,0.0247
-10,-0.3456,0.1198,0.0212
-9,-0.2647,0.10227,0.0113
-8,-0.1498,0.08128,-0.0104
-7,-0.1116,0.07068,-0.0151
-6,-0.0727,0.06128,-0.0194
-5,-0.0334,0.05321,-0.0229
-4,0.0054,0.04651,-0.0253
-3,0.0404,0.04125,-0.0259
-2,0.0622,0.03755,-0.023
-1,0.0522,0.03561,-0.0145
0,0,0.03518,0
1,-0.0522,0.03561,0.0145
2,-0.0622,0.03754,0.023
3,-0.0402,0.04123,0.0258
4,-0.0051,0.04649,0.0253
5,0.0339,0.05318,0.0229
6,0.0734,0.06125,0.0193
7,0.1124,0.07064,0.015
8,0.1509,0.08124,0.0102
9,0.2655,0.1022,-0.0114
10,0.3467,0.11978,-0.0214
11,0.4005,0.13445,-0.0249
12,0.4478,0.14877,-0.0274
13,0.5027,0.16593,-0.0308
14,0.5446,0.18049,-0.0332
15,0.5662,0.18873,-0.0351
