Alpha,Cl,Cd,Cm
-180,-5.4,0.0091,-0.0050
-170,-5.1,0.0094,-0.0050
-160,-4.8,0.0099,-0.0050
-150,-4.5,0.0107,-0.0050
-140,-4.2,0.0116,-0.0050
-130,-3.9,0.01203,-0.0050
-120,-3.6,0.01266,-0.0050
-110,-3.3,0.01329,-0.0050
-100,-3,0.01392,-0.0050
-90,-2.7,0.01455,-0.0050
-80,-2.4,0.01518,-0.0050
-70,-2.1,0.01581,-0.0050
-60,-1.8,0.01644,-0.0050
-50,-1.5,0.01707,-0.0050
-40,-1.2,0.0177,-0.0050
-30,-0.9,0.01833,-0.0050
-20,-0.6,0.01896,-0.0050
-10,-0.3,0.01959,-0.0050
0,9.76996E-15,0.02022,-0.0050
10,0.3,0.01959,-0.0050
20,0.6,0.01896,-0.0050
30,0.9,0.01833,-0.0050
40,1.2,0.0177,-0.0050
50,1.5,0.01707,-0.0050
60,1.8,0.01644,-0.0050
70,2.1,0.01581,-0.0050
80,2.4,0.01518,-0.0050
90,2.7,0.01455,-0.0050
100,3,0.01392,-0.0050
110,3.3,0.01329,-0.0050
120,3.6,0.01266,-0.0050
130,3.9,0.01203,-0.0050
140,4.2,0.0116,-0.0050
150,4.5,0.0107,-0.0050
160,4.8,0.0099,-0.0050
170,5.1,0.0094,-0.0050
180,5.4,0.0091,-0.0050
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
