alpha,CL,CD,CM
-30,-1.1256,0.36173,0.161
-28,-1.0695,0.34232,0.1409
-26,-1.011,0.32392,0.1208
-24,-0.9533,0.30659,0.101
-22,-0.8818,0.27799,0.0859
-20,-0.8153,0.254,0.0703
-19.75,-0.8111,0.25345,0.0677
-19,-0.7827,0.2421,0.063
-18.5,-0.771,0.23747,0.0588
-18,-0.7578,0.23321,0.0554
-17.5,-0.7337,0.22338,0.0533
-17,-0.7224,0.21823,0.0497
-16.5,-0.7189,0.21664,0.0461
-16,-0.6952,0.20716,0.0443
-15.5,-0.6732,0.19843,0.0423
-15,-0.6575,0.19169,0.0402
-14.5,-0.6427,0.18503,0.0383
-14,-0.6287,0.17839,0.0365
-13.5,-0.621,0.17305,0.035
-13,-0.6163,0.16783,0.0337
-12.5,-0.5903,0.15819,0.0326
-12,-0.5732,0.15088,0.0319
-11.5,-0.5796,0.14685,0.0319
-11,-0.5463,0.1367,0.0309
-10.5,-0.5482,0.13145,0.0315
-10,-0.5214,0.12265,0.0307
-9.5,-0.6284,0.10317,0.0076
-9,-0.6876,0.08505,-0.005
-8.5,-0.7351,0.07117,-0.0095
-8,-0.7721,0.05916,-0.0102
-7.5,-0.77,0.05117,-0.0078
-7,-0.7493,0.04521,-0.0045
-6.5,-0.7235,0.0403,-0.0006
-6,-0.6859,0.03729,0.0043
-5.5,-0.6501,0.03494,0.0104
-5,-0.608,0.03405,0.0181
-4.5,-0.5636,0.03373,0.0261
-4,-0.4731,0.03519,0.03
-3.5,-0.3214,0.03549,0.0192
-3,-0.1687,0.03302,0.0004
-2.5,-0.0326,0.02905,-0.0204
-2,-0.0137,0.02722,-0.0197
-1.5,0.0015,0.02583,-0.0176
-1,0.0096,0.02485,-0.0136
-0.5,0.0086,0.02426,-0.0076
0,0,0.02407,0
0.5,-0.0086,0.02426,0.0076
1,-0.0096,0.02484,0.0136
1.5,-0.0015,0.02582,0.0176
2,0.0138,0.02722,0.0197
2.5,0.0328,0.02904,0.0204
3,0.1687,0.033,-0.0004
3.5,0.3216,0.03548,-0.0192
4,0.4731,0.03518,-0.03
4.5,0.5637,0.03372,-0.0261
5,0.608,0.03405,-0.0181
5,0.608,0.03405,-0.0181
5.5,0.6501,0.03494,-0.0104
6,0.6859,0.03729,-0.0043
6.5,0.7235,0.0403,0.0006
7,0.7493,0.04521,0.0045
7.5,0.7701,0.05117,0.0077
8,0.7722,0.05916,0.0102
8.5,0.7354,0.07118,0.0095
9,0.6879,0.08509,0.0048
9.5,0.6096,0.1048,-0.0102
10,0.5223,0.12265,-0.0309
10.5,0.5513,0.13177,-0.0318
11,0.5474,0.13675,-0.0311
11.5,0.5804,0.14686,-0.0321
12,0.5743,0.15094,-0.0321
12.5,0.5919,0.15835,-0.0329
13,0.6171,0.16787,-0.0339
13.5,0.6217,0.17309,-0.0352
14,0.6297,0.17851,-0.0367
14.5,0.6438,0.18518,-0.0385
15,0.6586,0.19186,-0.0405
15.5,0.6742,0.19864,-0.0426
16,0.6959,0.20731,-0.0446
16.5,0.7195,0.21679,-0.0464
17,0.7239,0.21875,-0.0499
17.5,0.7349,0.22382,-0.0535
18,0.7586,0.23356,-0.0557
18.5,0.7727,0.23828,-0.059
19,0.7839,0.24275,-0.0633
19.75,0.8121,0.25407,-0.068
20,0.8166,0.25484,-0.0706
22,0.8832,0.27924,-0.0862
24,0.9553,0.30899,-0.1012
26,1.0127,0.32642,-0.1213
28,1.0715,0.34585,-0.1415
30,1.128,0.36634,-0.1617
