Alpha,Cl,Cd,Cm
-15,-1.2395,0.02225,-0.082
-14.5,-1.2146,0.02091,-0.0778
-14,-1.1574,0.01965,-0.0797
-13.5,-1.0968,0.0188,-0.0817
-13,-1.0342,0.01807,-0.084
-12.5,-0.9774,0.01681,-0.0855
-12,-0.914,0.01645,-0.0875
-11.5,-0.8513,0.01598,-0.0893
-11,-0.7936,0.01542,-0.0902
-10.5,-0.7381,0.01502,-0.0903
-10,-0.6928,0.01357,-0.089
-9.5,-0.6407,0.01314,-0.0884
-9,-0.588,0.01274,-0.0879
-8.5,-0.535,0.0123,-0.0873
-8,-0.4812,0.01192,-0.0869
-7.5,-0.4288,0.01117,-0.0864
-7,-0.3779,0.01004,-0.0857
-6.5,-0.3236,0.00958,-0.0854
-6,-0.2692,0.00913,-0.085
-5.5,-0.2147,0.00874,-0.0847
-5,-0.1596,0.00842,-0.0844
-4.5,-0.1041,0.00819,-0.0842
-4,-0.0498,0.00764,-0.0838
-3.5,0.0055,0.00741,-0.0836
-3,0.0614,0.00723,-0.0834
-2.5,0.1176,0.00709,-0.0834
-2,0.1735,0.00691,-0.0832
-1.5,0.2288,0.00665,-0.0831
-1,0.2841,0.00647,-0.0829
-0.5,0.3389,0.0062,-0.0828
0,0.3938,0.00609,-0.0826
0.5,0.4483,0.00589,-0.0825
1,0.5006,0.00551,-0.0819
1.5,0.5462,0.005,-0.0796
2,0.6021,0.00515,-0.0793
2.5,0.6745,0.00554,-0.0831
3,0.7434,0.00616,-0.0864
3.5,0.7917,0.00653,-0.0849
4,0.8405,0.00682,-0.0835
4.5,0.8906,0.00707,-0.0823
5,0.9414,0.00734,-0.0813
5.5,0.9931,0.00762,-0.0806
6,1.0445,0.00795,-0.0798
6.5,1.0952,0.00834,-0.079
7,1.143,0.00896,-0.0778
7.5,1.1856,0.00998,-0.0758
8,1.2286,0.01094,-0.0739
8.5,1.2732,0.01175,-0.0722
9,1.3185,0.01247,-0.0707
9.5,1.3491,0.01416,-0.067
10,1.384,0.01533,-0.0638
10.5,1.4198,0.01621,-0.0608
11,1.4508,0.01737,-0.0572
11.5,1.4833,0.01847,-0.0541
12,1.5133,0.01974,-0.051
12.5,1.5383,0.02141,-0.0475
13,1.5606,0.02335,-0.0442
13.5,1.5841,0.02531,-0.0414
14,1.6039,0.02768,-0.0386
14.5,1.6206,0.03046,-0.0362
15,1.6313,0.03393,-0.0338
