Alpha,Cl,Cd,Cm
-10,-0.4688,0.11236,-0.0169
-9,-0.4548,0.0994,-0.0183
-8,-0.4444,0.08628,-0.018
-7,-0.6189,0.04203,-0.0371
-6,-0.5619,0.03214,-0.0313
-5,-0.4805,0.02616,-0.0271
-4,-0.3919,0.02276,-0.024
-3,-0.3031,0.02039,-0.0215
-2,-0.2247,0.01892,-0.0152
-1,-0.0764,0.02013,-0.0246
0,0.1216,0.02178,-0.0446
1,0.297,0.02242,-0.0576
2,0.4599,0.022,-0.0651
3,0.5823,0.02175,-0.0639
4,0.6929,0.0217,-0.0601
5,0.7961,0.02208,-0.0551
6,0.8911,0.02237,-0.0485
7,0.9692,0.02334,-0.0402
8,1.0202,0.02693,-0.0296
9,1.0957,0.03347,-0.0243
10,1.1793,0.04156,-0.0208
