Alpha,Cl,Cd,Cm
-10,-0.9965,0.01131,-0.0035
-9,-0.8907,0.01007,-0.0021
-8,-0.7827,0.00907,-0.001
-7,-0.673,0.00821,-0.0002
-6,-0.563,0.00731,0.0005
-5,-0.4501,0.00679,0.0007
-4,-0.3358,0.00646,0.0006
-3,-0.2209,0.00622,0.0004
-2,-0.1059,0.0063,-0.0001
-1,0.008,0.00678,-0.0007
1,0.2348,0.00675,-0.0013
2,0.3407,0.00594,-0.0004
3,0.4408,0.00508,0.0021
4,0.5719,0.00555,-0.0023
5,0.698,0.00605,-0.0058
6,0.8203,0.00656,-0.0086
7,0.9455,0.00702,-0.0122
8,1.0686,0.00757,-0.0156
9,1.1842,0.00868,-0.0178
10,1.2967,0.00975,-0.0195
