Alpha,Cl,Cd,Cm
-20,-0.7462,0.2527,0.061
-19,-0.7086,0.23959,0.0551
-18,-0.6783,0.23042,0.0498
-17,-0.6422,0.2183,0.0451
-16,-0.5976,0.20291,0.0407
-15,-0.5636,0.1919,0.0375
-14,-0.5187,0.17696,0.0339
-13,-0.4814,0.16468,0.0316
-12,-0.4297,0.14887,0.0277
-11,-0.383,0.13531,0.0245
-10,-0.3179,0.11897,0.0171
-9,-0.1894,0.09396,-0.0074
-8,-0.1529,0.08264,-0.0123
-7,-0.1163,0.07234,-0.0169
-6,-0.1932,0.07062,0.0009
-5,-0.0418,0.0554,-0.0241
-4,-0.0053,0.04895,-0.026
-3,0.0271,0.04392,-0.0259
-2,0.0465,0.04041,-0.0223
-1,0.0392,0.0385,-0.0136
0,0,0.03799,0
1,-0.0392,0.0385,0.0136
2,-0.0465,0.0404,0.0223
3,-0.0269,0.0439,0.0259
4,0.0056,0.04893,0.026
5,0.0423,0.05537,0.024
6,0.1942,0.0706,-0.0011
7,0.17405,0.076605,0.0055
8,0.1539,0.08261,0.0121
9,0.1906,0.09393,0.0072
10,0.3186,0.11885,-0.0172
11,0.3844,0.13536,-0.0248
12,0.4311,0.14895,-0.028
13,0.4827,0.16477,-0.0318
14,0.5201,0.17712,-0.0342
15,0.5649,0.19209,-0.0378
16,0.5993,0.20329,-0.0411
17,0.6441,0.21892,-0.0455
18,0.6802,0.23118,-0.0501
19,0.7103,0.24035,-0.0555
20,0.7476,0.25345,-0.0614
