Alpha,Cl,Cd,Cm
-10.0,-0.9379,0.01637,-0.0152
-9.0,-0.8453,0.01414,-0.0115
-8.0,-0.7456,0.01245,-0.0089
-7.0,-0.6394,0.01164,-0.0074
-6.0,-0.5286,0.01124,-0.0068
-5.0,-0.4193,0.0104,-0.006
-4.0,-0.3102,0.00947,-0.005
-3.0,-0.1997,0.00875,-0.0044
-2.0,-0.0878,0.00815,-0.0039
-1.0,0.0245,0.00758,-0.0036
0.0,0.1318,0.0066,-0.0027
1.0,0.2385,0.00571,-0.0024
2.0,0.4015,0.00711,-0.0137
3.0,0.548,0.00774,-0.0216
4.0,0.6799,0.0082,-0.0266
5.0,0.7934,0.00869,-0.0276
6.0,0.8946,0.00923,-0.026
7.0,0.9929,0.00988,-0.0239
8.0,1.089,0.01067,-0.0215
9.0,1.1827,0.01157,-0.0188
10.0,1.2747,0.01246,-0.0159
