Alpha,Cl,Cd,Cm
-10.0,-0.3807,0.11595,0.0282
-9.0,-0.2799,0.09284,0.0069
-8.0,-0.2469,0.07996,0.0009
-7.0,-0.4703,0.081,0.0263
-6.0,-0.384,0.06728,0.0222
-4.0,-0.1115,0.04165,-0.0199
-3.0,-0.0737,0.03649,-0.0208
-2.0,-0.0382,0.03304,-0.0181
-1.0,-0.013,0.0311,-0.0109
0.0,-0.0,0.03047,-0.0
1.0,0.013,0.03109,0.0109
2.0,0.0382,0.03303,0.0181
3.0,0.0738,0.03648,0.0208
4.0,0.1118,0.04164,0.0199
5.0,0.1486,0.04865,0.0163
6.0,0.3731,0.06687,-0.0208
7.0,0.4707,0.08098,-0.0264
8.0,0.4936,0.09608,-0.0279
9.0,0.2811,0.09281,-0.0072
10.0,0.3818,0.11593,-0.0284
