Alpha,Cl,Cd,Cm
-10.0,-0.5216,0.09956,-0.0315
-9.0,-0.6107,0.0642,-0.0489
-8.0,-0.6973,0.03755,-0.0409
-7.0,-0.6447,0.02943,-0.0335
-6.0,-0.5681,0.02409,-0.0286
-5.0,-0.4802,0.02043,-0.0253
-4.0,-0.3911,0.01826,-0.0229
-3.0,-0.2425,0.01683,-0.0327
-2.0,-0.0893,0.01527,-0.0409
-1.0,0.112,0.01511,-0.054
0.0,0.3149,0.01402,-0.0719
1.0,0.4219,0.01328,-0.0695
2.0,0.5188,0.01319,-0.0648
3.0,0.6152,0.01359,-0.0603
4.0,0.7104,0.01435,-0.0561
5.0,0.8039,0.01521,-0.0514
6.0,0.8925,0.01626,-0.0463
7.0,0.9705,0.01777,-0.04
8.0,1.0241,0.02184,-0.0312
9.0,1.0859,0.02679,-0.0242
10.0,1.172,0.03258,-0.0213
