Alpha,Cl,Cd,Cm
-10,-0.9806,0.01289,-0.0065
-8,-0.7725,0.00998,-0.003
-7,-0.6651,0.00886,-0.0019
-6,-0.5541,0.0082,-0.0013
-5,-0.4413,0.00773,-0.0011
-4,-0.3278,0.00734,-0.001
-3,-0.2135,0.00702,-0.0012
-2,-0.0994,0.00669,-0.0013
-1,0.0146,0.00672,-0.0016
0,0.1265,0.00743,-0.002
1,0.231,0.0066,-0.0009
2,0.3299,0.00534,0.0019
3,0.4683,0.00596,-0.0041
4,0.606,0.00651,-0.0101
5,0.7283,0.007,-0.0128
6,0.8538,0.00753,-0.0165
7,0.979,0.00806,-0.0202
8,1.1007,0.00865,-0.0233
9,1.2089,0.00934,-0.0236
10,1.2986,0.01073,-0.0205
