Alpha,Cl,Cd,Cm
-10.0,-0.436,0.11866,-0.007
-9.0,-0.4177,0.10622,-0.0069
-8.0,-0.3994,0.09404,-0.0052
-7.0,-0.404,0.08252,-0.002
-6.0,-0.5529,0.04155,-0.0318
-5.0,-0.4834,0.03282,-0.0275
-4.0,-0.3998,0.02764,-0.0235
-3.0,-0.3134,0.02399,-0.0187
-2.0,-0.2528,0.02199,-0.0034
-1.0,-0.1226,0.02242,-0.0149
0.0,-0.0577,0.0245,-0.0138
1.0,0.1003,0.02869,-0.0299
2.0,0.2688,0.03235,-0.0451
3.0,0.4164,0.03524,-0.0537
4.0,0.569,0.03679,-0.0593
5.0,0.6941,0.03752,-0.0573
6.0,0.8374,0.03506,-0.0522
7.0,0.9533,0.03246,-0.0423
8.0,1.0265,0.03399,-0.0308
9.0,1.0962,0.04145,-0.0239
10.0,1.1575,0.05228,-0.0184
