Alpha,Cl,Cd,Cm
-10.0,-0.1948,0.10381,-0.0139
-9.0,-0.1586,0.09193,-0.0186
-8.0,-0.1238,0.08053,-0.0233
-7.0,-0.3577,0.08969,0.0055
-6.0,-0.3994,0.07774,0.0075
-5.0,-0.4125,0.06519,0.012
-4.0,-0.3863,0.05379,0.0189
-3.0,-0.0651,0.03728,-0.0371
-2.0,-0.1194,0.03355,-0.0247
-1.0,-0.0943,0.03329,-0.0171
0.0,-0.0387,0.03455,-0.0133
1.0,0.0223,0.03685,-0.0113
2.0,0.0831,0.04017,-0.0106
3.0,0.1422,0.04454,-0.0111
4.0,0.1985,0.05001,-0.0126
5.0,0.2509,0.05669,-0.0149
6.0,0.2984,0.0647,-0.0182
7.0,0.3407,0.07416,-0.0223
8.0,0.3782,0.08513,-0.0271
9.0,0.4119,0.09758,-0.0326
10.0,0.4432,0.11136,-0.0386
