Alpha,Cl,Cd,Cm
-10,-0.9677,0.01395,-0.0091
-8,-0.7643,0.01069,-0.0048
-7,-0.6571,0.0097,-0.0036
-6,-0.5463,0.00905,-0.003
-5,-0.4344,0.00851,-0.0026
-4,-0.3211,0.00817,-0.0025
-3,-0.2085,0.00762,-0.0023
-2,-0.0951,0.00716,-0.0022
-1,0.0188,0.00691,-0.0023
1,0.2233,0.00605,0.0004
2,0.3529,0.006,-0.0032
3,0.5026,0.0067,-0.0117
4,0.627,0.0072,-0.0148
5,0.7562,0.00769,-0.0192
6,0.8813,0.00819,-0.0227
7,1.0048,0.00878,-0.0261
8,1.1022,0.00946,-0.024
9,1.1986,0.01017,-0.0217
10,1.2921,0.0111,-0.0191
