Alpha,Cl,Cd,Cm
-10,-1.0652,0.01425,0.0028
-9,-0.9588,0.01279,0.003
-8,-0.8491,0.0118,0.0029
-7,-0.7406,0.0098,0.0029
-6,-0.6281,0.00875,0.0024
-5,-0.5143,0.00768,0.0018
-4,-0.399,0.00681,0.0009
-3,-0.2824,0.00627,-0.0002
-2,-0.1648,0.00583,-0.0014
-1,-0.0451,0.00583,-0.0035
0,0.0764,0.00525,-0.0071
1,0.1961,0.00488,-0.0098
2,0.314,0.00511,-0.0115
3,0.4311,0.00539,-0.013
4,0.547,0.00568,-0.0142
5,0.6614,0.00604,-0.0151
6,0.7737,0.00679,-0.0158
7,0.8838,0.00774,-0.0163
8,0.9923,0.00871,-0.0165
9,1.0997,0.00968,-0.0166
10,1.2096,0.01081,-0.0177
