Alpha,Cl,Cd,Cm
-12,-0.4102,0.1257,-0.0344
-11.5,-0.3873,0.12072,-0.0326
-11,-0.3033,0.10348,-0.0462
-10.5,-0.2849,0.09957,-0.0425
-10,-0.3802,0.09795,-0.0424
-9.5,-0.3693,0.09333,-0.0422
-9,-0.3803,0.0872,-0.0428
-8.5,-0.3041,0.06977,-0.0497
-8,-0.2936,0.05888,-0.0599
-7.5,-0.4255,0.03034,-0.0862
-7,-0.3698,0.02444,-0.089
-6.5,-0.3088,0.02136,-0.0913
-6,-0.2472,0.01868,-0.0928
-5.5,-0.1918,0.01676,-0.0927
-5,-0.1365,0.01535,-0.0923
-4.5,-0.0824,0.0141,-0.0916
-4,-0.0308,0.0127,-0.0905
-3.5,0.0221,0.01202,-0.0895
-3,0.0742,0.01123,-0.0884
-2.5,0.1269,0.01052,-0.0874
-2,0.1789,0.00975,-0.0866
-1.51,0.2303,0.00926,-0.0858
-1,0.2808,0.00851,-0.0846
-0.5,0.3221,0.00755,-0.0807
0,0.408,0.00758,-0.0858
0.5,0.4942,0.00766,-0.0922
1,0.5438,0.00776,-0.0909
1.5,0.5931,0.00792,-0.0894
2,0.6421,0.00809,-0.0879
2.5,0.6908,0.00831,-0.0863
3,0.7386,0.00857,-0.0846
3.5,0.7859,0.0089,-0.0827
4,0.832,0.00934,-0.0807
4.5,0.8767,0.00991,-0.0786
5,0.9206,0.0106,-0.0764
5.5,0.9658,0.01129,-0.0746
6,1.0131,0.01189,-0.0731
6.5,1.0604,0.01251,-0.0718
7,1.1071,0.01313,-0.0703
7.5,1.1529,0.01379,-0.0688
8,1.1982,0.01436,-0.0672
8.5,1.2413,0.01502,-0.0653
9,1.2797,0.01593,-0.0627
9,1.2797,0.01593,-0.0627
9.51,1.3066,0.01748,-0.0584
10,1.3315,0.01907,-0.0543
10.5,1.3568,0.02074,-0.0504
11,1.3833,0.02239,-0.047
11.5,1.4046,0.02449,-0.0434
12,1.4061,0.02821,-0.0384
