Alpha,Cl,Cd,Cm
-10,-0.9674,0.01398,-0.0091
-8,-0.7642,0.01071,-0.0048
-6,-0.5462,0.00907,-0.003
-5,-0.4343,0.00853,-0.0026
-4,-0.3209,0.00818,-0.0025
-3,-0.2084,0.00764,-0.0023
-2,-0.0951,0.00716,-0.0022
-1,0.0189,0.00692,-0.0023
0,0.1303,0.00736,-0.0024
1,0.2231,0.00604,0.0004
2,0.3532,0.00601,-0.0033
3,0.5033,0.00671,-0.0118
4,0.6276,0.00721,-0.0149
5,0.7568,0.0077,-0.0193
6,0.8818,0.00821,-0.0229
7,1.0046,0.0088,-0.0261
8,1.102,0.00948,-0.0239
9,1.1985,0.01019,-0.0217
10,1.2918,0.01111,-0.0191
