Alpha,Cl,Cd,Cm
-10,-1.0629,0.01477,0.0025
-9,-0.9573,0.01314,0.0028
-8,-0.8481,0.01207,0.0028
-7,-0.7399,0.01,0.0028
-6,-0.6276,0.00891,0.0023
-5,-0.5139,0.00781,0.0017
-4,-0.3987,0.00691,0.0009
-3,-0.2822,0.00632,-0.0002
-2,-0.1647,0.00587,-0.0014
-1,-0.0452,0.0058,-0.0034
1,0.1961,0.00489,-0.0099
2,0.314,0.00513,-0.0115
3,0.4309,0.00542,-0.0129
4,0.5468,0.00572,-0.0141
5,0.6609,0.0061,-0.015
6,0.7731,0.00683,-0.0157
7,0.8826,0.00779,-0.016
8,0.9907,0.00877,-0.0162
9,1.0992,0.00978,-0.0166
10,1.2089,0.01092,-0.0176
