alpha,Cl,Cd,Cm
-4.000000,-0.435453,0.002983,0.012900
-3.000000,-0.334379,-0.002303,0.008500
-2.000000,-0.229724,-0.005286,0.006900
-1.000000,-0.118760,-0.008129,0.005700
0.000000,-0.013500,-0.008700,0.003700
1.000000,0.086221,-0.006196,0.000900
2.000000,0.195823,-0.002968,0.000200
3.000000,0.310980,0.000877,0.000100
4.000000,0.431813,0.003430,0.000500
5.000000,0.548950,0.008476,0.000500
6.000000,0.666525,0.011735,0.000500
7.000000,0.784839,0.009116,0.001800
8.000000,0.893964,0.003853,0.004900
9.000000,1.000402,-0.001825,0.008700
10.000000,1.099904,-0.006299,0.012800
11.000000,1.185636,-0.003942,0.013800
12.000000,1.245780,0.009827,0.007400
