Alpha,Cl,Cd,Cm
-10,-0.4899,0.11571,-0.0177
-9,-0.4451,0.10054,-0.0162
-8,-0.4374,0.0875,-0.0163
-7,-0.618,0.04306,-0.0373
-6,-0.5614,0.03329,-0.0315
-5,-0.4807,0.02709,-0.0273
-4,-0.3932,0.02342,-0.024
-3,-0.3038,0.02087,-0.0213
-2,-0.2283,0.0193,-0.0138
-1,-0.1134,0.02031,-0.0179
0,0.09,0.02258,-0.0397
1,0.2728,0.02367,-0.0546
2,0.4321,0.02388,-0.0625
3,0.5762,0.02321,-0.0647
4,0.6903,0.02302,-0.0611
5,0.7903,0.02351,-0.0556
6,0.8881,0.02355,-0.0488
7,0.9695,0.02432,-0.0405
8,1.0207,0.02777,-0.0296
9,1.0963,0.03437,-0.0242
10,1.18,0.04271,-0.0208
