Alpha,Cl,Cd,Cm
-10.0,-0.4717,0.10556,-0.0213
-9.0,-0.4728,0.09166,-0.0257
-8.0,-0.6718,0.04438,-0.0429
-7.0,-0.6377,0.03291,-0.035
-6.0,-0.5662,0.02613,-0.0295
-5.0,-0.4795,0.02201,-0.0259
-4.0,-0.3902,0.0195,-0.0234
-3.0,-0.3019,0.01813,-0.0217
-2.0,-0.1364,0.01682,-0.0327
-1.0,0.0944,0.01708,-0.053
0.0,0.2749,0.01635,-0.0672
1.0,0.4075,0.01553,-0.0697
2.0,0.5138,0.01516,-0.0662
3.0,0.6119,0.0154,-0.0615
4.0,0.7096,0.01602,-0.0571
5.0,0.8043,0.01684,-0.0523
6.0,0.8934,0.01782,-0.0468
7.0,0.9695,0.01918,-0.0398
8.0,1.0206,0.02325,-0.0303
9.0,1.0866,0.02863,-0.0239
10.0,1.1753,0.03495,-0.0212
