Alpha,Cl,Cd,Cm
-10.0,-0.9866,0.01223,-0.0054
-9.0,-0.8825,0.01087,-0.0037
-7.0,-0.668,0.0086,-0.0012
-6.0,-0.5573,0.00787,-0.0007
-5.0,-0.4445,0.00738,-0.0004
-4.0,-0.3306,0.00701,-0.0004
-3.0,-0.2158,0.00676,-0.0007
-2.0,-0.1015,0.00648,-0.0008
-1.0,0.0125,0.00678,-0.0013
0.0,0.1251,0.00733,-0.0017
1.0,0.2331,0.00673,-0.0012
2.0,0.3237,0.0052,0.0031
3.0,0.4555,0.00567,-0.0012
4.0,0.5964,0.00619,-0.0079
5.0,0.7164,0.00671,-0.0101
6.0,0.8425,0.00721,-0.0139
7.0,0.9679,0.00775,-0.0176
8.0,1.0896,0.00834,-0.0207
9.0,1.2081,0.00909,-0.0233
10.0,1.3029,0.01046,-0.0213
