Alpha,Cl,Cd,Cm
-10,-0.9722,0.01365,-0.0081
-9,-0.8713,0.01187,-0.0059
-8,-0.7672,0.01044,-0.0042
-7,-0.6598,0.00939,-0.003
-6,-0.5491,0.00874,-0.0024
-5,-0.4366,0.00828,-0.0021
-4,-0.3234,0.00788,-0.002
-3,-0.2103,0.00739,-0.0019
-2,-0.0961,0.00706,-0.002
-1,0.0175,0.00679,-0.002
0,0.1291,0.00743,-0.0023
1,0.2267,0.00627,-0.0003
2,0.3464,0.00579,-0.0018
3,0.4908,0.00647,-0.0091
4,0.6207,0.00698,-0.0134
5,0.7468,0.00746,-0.017
6,0.8722,0.00797,-0.0207
7,0.9959,0.00853,-0.0241
8,1.1054,0.00918,-0.0245
9,1.2017,0.00993,-0.0223
10,1.2942,0.01096,-0.0196
