Alpha,Cl,Cd,Cm
-10.0,-0.9094,0.05895,-0.0247
-9.0,-0.9049,0.04421,-0.0172
-8.0,-0.8469,0.03479,-0.0108
-7.0,-0.7665,0.02804,-0.0058
-6.0,-0.6876,0.02318,0.0001
-5.0,-0.6155,0.01995,0.0079
-4.0,-0.5402,0.01833,0.0167
-3.0,-0.4617,0.01782,0.0268
-2.0,-0.3625,0.01865,0.0345
-1.0,-0.0936,0.01974,0.0063
0.0,-0.0,0.01872,0.0
1.0,0.0936,0.01974,-0.0063
2.0,0.3624,0.01865,-0.0345
3.0,0.4617,0.01782,-0.0268
4.0,0.5402,0.01833,-0.0167
5.0,0.6155,0.01995,-0.0079
6.0,0.6876,0.02318,-0.0001
7.0,0.7665,0.02804,0.0058
8.0,0.8469,0.03479,0.0108
9.0,0.905,0.04421,0.0172
10.0,0.9095,0.05897,0.0247
