Alpha,Cl,Cd,Cm
-10,-0.1949,0.10391,-0.014
-9,-0.1588,0.09205,-0.0187
-8,-0.1241,0.08066,-0.0234
-7,-0.3484,0.0895,0.0055
-6,-0.3873,0.07782,0.0077
-5,-0.4024,0.06556,0.0126
-4,-0.3713,0.05411,0.0188
-3,-0.0665,0.03748,-0.037
-2,-0.1192,0.03379,-0.0247
-1,-0.0939,0.03353,-0.0171
0,-0.0384,0.03477,-0.0134
1,0.0226,0.03706,-0.0113
2,0.0833,0.04037,-0.0105
3,0.1423,0.04473,-0.011
4,0.1986,0.05018,-0.0124
5,0.251,0.05685,-0.0148
6,0.2984,0.06484,-0.0181
7,0.3407,0.07429,-0.0221
8,0.3783,0.08524,-0.0269
9,0.4119,0.09766,-0.0324
10,0.4432,0.11141,-0.0385
