alpha,CL,CD,CM
-30,-1.1263,0.35973,0.1639
-29,-1.099,0.35019,0.1525
-28,-1.0698,0.33971,0.1433
-27,-1.0421,0.33113,0.1309
-26,-1.0095,0.31829,0.1234
-25,-0.9812,0.30887,0.1113
-24,-0.9463,0.29571,0.1042
-23,-0.9167,0.28456,0.0933
-22,-0.8821,0.27234,0.0855
-21,-0.8505,0.25969,0.0764
-20,-0.834,0.25418,0.0632
-19,-0.7847,0.23448,0.0605
-18,-0.7556,0.22128,0.0521
-17,-0.746,0.21123,0.0403
-16,-0.7237,0.1987,0.0332
-15,-0.6874,0.18218,0.029
-14,-0.6784,0.16818,0.0215
-13,-0.6798,0.15262,0.0136
-12,-0.6413,0.13544,0.0132
-11,-0.6257,0.11971,0.0101
-10,-0.9531,0.04931,-0.0229
-9,-0.9246,0.03786,-0.0145
-8,-0.8472,0.03027,-0.01
-7,-0.7639,0.02473,-0.0053
-6,-0.686,0.02057,0.0005
-5,-0.6142,0.0176,0.0076
-4,-0.5375,0.01601,0.0149
-3,-0.4568,0.01526,0.0226
-2,-0.3765,0.01546,0.0317
-1,-0.2261,0.01696,0.0269
0,0,0.01743,0
1,0.226,0.01696,-0.0269
2,0.3764,0.01546,-0.0317
3,0.4568,0.01525,-0.0226
4,0.5374,0.01601,-0.0149
5,0.6141,0.0176,-0.0076
6,0.686,0.02057,-0.0005
7,0.7639,0.02473,0.0053
8,0.8472,0.03027,0.01
9,0.9246,0.03786,0.0145
10,0.9534,0.0493,0.0229
11,0.9457,0.06399,0.0293
12,0.7713,0.09946,0.0167
13,0.6797,0.15269,-0.014
14,0.6782,0.16823,-0.022
15,0.6874,0.18223,-0.0294
16,0.7242,0.19884,-0.0335
17,0.7485,0.21191,-0.0403
18,0.7569,0.22175,-0.0523
19,0.7859,0.23508,-0.0608
20,0.8347,0.25471,-0.0636
21,0.8519,0.26066,-0.0768
22,0.8835,0.27354,-0.0859
23,0.9184,0.28612,-0.0936
24,0.9479,0.2975,-0.1046
25,0.9829,0.31108,-0.1117
26,1.0114,0.3208,-0.1239
27,1.0441,0.33428,-0.1313
28,1.0719,0.34315,-0.1439
29,1.1012,0.35419,-0.1531
30,1.1287,0.36427,-0.1646
