alpha,CL,CD,CM
-28,-1.0716,0.34536,0.1397
-26,-1.0116,0.32336,0.1203
-24,-0.955,0.30672,0.0996
-22,-0.8832,0.27534,0.0846
-20,-0.8164,0.25115,0.0686
-19.5,-0.8132,0.25054,0.0617
-19,-0.783,0.23808,0.0612
-18.5,-0.7812,0.23782,0.0546
-18,-0.7515,0.22557,0.0539
-17.5,-0.7517,0.22483,0.0478
-17,-0.7211,0.21276,0.047
-16.5,-0.7289,0.21304,0.0408
-16,-0.6921,0.20016,0.0408
-15.5,-0.6833,0.19396,0.0372
-15,-0.6807,0.19017,0.0336
-14.5,-0.6532,0.18043,0.0327
-14,-0.6402,0.17313,0.0305
-13.5,-0.6366,0.16714,0.0278
-13,-0.6364,0.16163,0.0255
-12.5,-0.637,0.15609,0.0235
-12,-0.6252,0.1484,0.0225
-11.5,-0.6231,0.14156,0.0212
-11,-0.6132,0.1337,0.0204
-10,-0.8333,0.07459,-0.0229
-9.5,-0.8631,0.06393,-0.0216
-9,-0.8823,0.05434,-0.0181
-8.5,-0.8557,0.0484,-0.0157
-8,-0.8352,0.04229,-0.0124
-7.5,-0.8046,0.03748,-0.0092
-7,-0.7685,0.03346,-0.0062
-6.5,-0.7298,0.03029,-0.0031
-6,-0.6917,0.02759,0.0004
-5.5,-0.6547,0.02557,0.0047
-5,-0.6192,0.02406,0.0097
-4.5,-0.5817,0.02317,0.0153
-4,-0.5434,0.02272,0.0215
-3.5,-0.5025,0.02271,0.028
-3,-0.4518,0.02315,0.0333
-2.5,-0.3565,0.02417,0.0306
-2,-0.192,0.02456,0.0121
-1.5,-0.0298,0.02316,-0.0099
-1,0.0292,0.02166,-0.0155
-0.75,0.0282,0.02126,-0.0128
0,0,0.02076,0
0.5,-0.023,0.02097,0.0092
1,-0.0292,0.02166,0.0155
1.5,0.0297,0.02315,0.0099
2,0.1919,0.02455,-0.0121
2.5,0.3564,0.02417,-0.0306
3,0.4518,0.02315,-0.0333
3.5,0.5024,0.02271,-0.028
4,0.5433,0.02272,-0.0215
4.5,0.5816,0.02317,-0.0153
5,0.6192,0.02406,-0.0097
5.5,0.6547,0.02556,-0.0047
6,0.6916,0.02758,-0.0004
6.5,0.7298,0.03029,0.0031
7,0.7685,0.03346,0.0062
7.5,0.8046,0.03748,0.0092
8,0.8352,0.04229,0.0123
8.5,0.8558,0.0484,0.0157
9,0.8824,0.05434,0.0181
9.5,0.8633,0.06394,0.0215
10,0.8336,0.07461,0.0228
11,0.4393,0.12443,-0.0065
11.5,0.4434,0.13084,-0.0067
12,0.4433,0.13617,-0.0069
12.5,0.4507,0.14219,-0.0073
13,0.4595,0.14813,-0.0077
13.5,0.4737,0.15489,-0.0081
14,0.4614,0.15598,-0.0086
14.5,0.4557,0.15885,-0.0099
15,0.4621,0.16384,-0.0111
15.5,0.4923,0.17421,-0.0115
16,0.4739,0.17272,-0.0138
16.5,0.4826,0.17825,-0.0153
17,0.4932,0.18337,-0.0166
17.5,0.4939,0.18715,-0.019
18,0.5185,0.19659,-0.0195
18.5,0.5085,0.19681,-0.0228
19,0.5213,0.20274,-0.0243
19.5,0.5257,0.20743,-0.0267
20,0.5328,0.21183,-0.0289
22,0.5653,0.23399,-0.0376
24,0.591,0.25401,-0.0478
26,0.6187,0.27636,-0.0579
28,0.6437,0.29934,-0.0683
30,0.6654,0.3227,-0.0789
