Alpha,Cl,Cd,Cm
-10,-0.4647,0.11228,-0.0164
-9,-0.4651,0.09983,-0.0192
-8,-0.4453,0.08642,-0.018
-7,-0.619,0.04206,-0.0371
-6,-0.5618,0.03222,-0.0313
-5,-0.4805,0.02621,-0.0271
-4,-0.392,0.02279,-0.024
-3,-0.3032,0.02041,-0.0215
-2,-0.2249,0.01894,-0.0151
-1,-0.0785,0.02014,-0.0242
0,0.1196,0.02182,-0.0443
1,0.2955,0.02249,-0.0574
2,0.4585,0.0221,-0.065
3,0.5816,0.02185,-0.0639
4,0.6924,0.02178,-0.0601
5,0.7962,0.02213,-0.0552
6,0.8912,0.02242,-0.0485
7,0.9692,0.02339,-0.0402
8,1.0203,0.02697,-0.0296
9,1.096,0.03352,-0.0243
10,1.1796,0.04163,-0.0209
