Alpha,Cl,Cd,Cm
-10,-0.9877,0.01213,-0.0052
-9,-0.8834,0.01078,-0.0035
-7,-0.6685,0.00855,-0.0011
-6,-0.5578,0.00781,-0.0005
-5,-0.445,0.00732,-0.0003
-4,-0.3311,0.00695,-0.0003
-3,-0.2163,0.0067,-0.0006
-2,-0.1019,0.00645,-0.0008
-1,0.0121,0.00678,-0.0013
0,0.1249,0.00729,-0.0017
1,0.2333,0.00675,-0.0012
2,0.3251,0.00522,0.0028
3,0.4531,0.0056,-0.0006
4,0.5944,0.00614,-0.0075
5,0.7142,0.00666,-0.0096
6,0.8405,0.00714,-0.0134
7,0.9659,0.00769,-0.0171
8,1.0876,0.00828,-0.0202
9,1.2061,0.00901,-0.0228
10,1.3039,0.01039,-0.0215
