Alpha,Cl,Cd,Cm
-10,-0.9828,0.01264,-0.0061
-9,-0.8792,0.0112,-0.0043
-8,-0.7737,0.00988,-0.0028
-6,-0.5553,0.00808,-0.0011
-5,-0.4425,0.0076,-0.0009
-4,-0.3288,0.00721,-0.0008
-3,-0.214,0.00697,-0.001
-2,-0.1001,0.0066,-0.0011
-1,0.0139,0.00673,-0.0015
1,0.2318,0.00664,-0.001
2,0.3256,0.00523,0.0028
3,0.4637,0.00586,-0.0031
4,0.6026,0.00639,-0.0093
5,0.724,0.00689,-0.0118
6,0.8497,0.00742,-0.0155
7,0.975,0.00796,-0.0192
8,1.0967,0.00854,-0.0223
9,1.2102,0.00926,-0.0238
10,1.2998,0.01066,-0.0208
