Alpha,Cl,Cd,Cm
-10,-0.9731,0.01357,-0.008
-9,-0.8724,0.01178,-0.0057
-8,-0.768,0.01039,-0.004
-7,-0.6606,0.00932,-0.0028
-6,-0.5499,0.00865,-0.0022
-5,-0.437,0.00824,-0.002
-4,-0.324,0.00779,-0.0019
-3,-0.2109,0.00732,-0.0017
-2,-0.0965,0.00701,-0.0019
-1,0.0171,0.00677,-0.002
0,0.1286,0.00744,-0.0023
1,0.2275,0.00634,-0.0004
2,0.3442,0.00573,-0.0013
3,0.4871,0.00639,-0.0083
4,0.6185,0.00691,-0.0129
5,0.7439,0.00739,-0.0164
6,0.8694,0.0079,-0.02
7,0.9933,0.00846,-0.0235
8,1.1063,0.0091,-0.0247
9,1.2028,0.00984,-0.0225
10,1.2949,0.01092,-0.0197
