Alpha,Cl,Cd,Cm
-10.0,-0.3891,0.12328,0.0065
-9.0,-0.3465,0.10956,0.0077
-8.0,-0.2922,0.09507,0.0074
-7.0,-0.4926,0.07821,-0.016
-6.0,-0.5247,0.05922,-0.021
-5.0,-0.4892,0.04528,-0.0201
-4.0,-0.4202,0.0364,-0.0157
-3.0,-0.3515,0.03106,-0.0046
-2.0,-0.1212,0.02704,-0.0241
-1.0,-0.1095,0.02671,-0.0157
0.0,-0.0494,0.02837,-0.0131
1.0,0.0145,0.03113,-0.0123
2.0,0.0779,0.03491,-0.0128
3.0,0.139,0.03971,-0.0142
4.0,0.2676,0.04813,-0.0296
5.0,0.4184,0.05748,-0.0462
6.0,0.5243,0.06613,-0.0525
7.0,0.6196,0.07523,-0.0545
8.0,0.6937,0.0841,-0.0507
9.0,0.7498,0.09429,-0.0445
10.0,0.765,0.11039,-0.0432
