Alpha,Cl,Cd,Cm
-10,-0.4307,0.1219,-0.0022
-9,-0.395,0.10838,-0.001
-8,-0.3673,0.09594,0.0012
-7,-0.3542,0.08417,0.0037
-6,-0.5478,0.0472,-0.0303
-5,-0.4857,0.03669,-0.0267
-4,-0.4059,0.03049,-0.0219
-3,-0.3236,0.02624,-0.0155
-2,-0.1151,0.02445,-0.0244
-1,-0.1176,0.02391,-0.0151
0,-0.0547,0.02582,-0.0134
1,0.0109,0.02885,-0.0133
2,0.1616,0.03437,-0.0295
3,0.3254,0.03966,-0.0451
4,0.4544,0.04429,-0.052
5,0.5772,0.04846,-0.055
6,0.714,0.05037,-0.0541
7,0.8987,0.04287,-0.0446
8,1.0158,0.0401,-0.0319
9,1.0773,0.04758,-0.0232
10,1.0915,0.06104,-0.0152
