Alpha,Cl,Cd,Cm
-10,-0.3817,0.12331,0.0079
-9,-0.3422,0.11024,0.0094
-8,-0.2751,0.09407,0.0069
-7,-0.4705,0.08065,-0.0118
-6,-0.5188,0.06129,-0.0187
-5,-0.4895,0.04697,-0.0182
-4,-0.4235,0.03763,-0.0138
-3,-0.3577,0.03205,-0.0018
-2,-0.1214,0.02755,-0.0242
-1,-0.1081,0.02724,-0.0158
0,-0.0485,0.02885,-0.0131
1,0.0152,0.03156,-0.0122
2,0.0783,0.03531,-0.0125
3,0.1393,0.04007,-0.0139
4,0.1968,0.04592,-0.0161
5,0.3697,0.05728,-0.0397
6,0.4887,0.06719,-0.0502
7,0.5928,0.07739,-0.055
8,0.668,0.08743,-0.0532
9,0.7238,0.09854,-0.0482
10,0.7219,0.11587,-0.0487
