Alpha,Cl,Cd,Cm
-10.0,-0.4907,0.11116,-0.0209
-9.0,-0.4503,0.09722,-0.0194
-8.0,-0.4619,0.08411,-0.021
-7.0,-0.6293,0.03848,-0.0364
-6.0,-0.5634,0.03043,-0.0308
-5.0,-0.4801,0.02504,-0.0268
-4.0,-0.391,0.02183,-0.0239
-3.0,-0.3024,0.01976,-0.0216
-2.0,-0.2208,0.01844,-0.0168
-1.0,-0.0325,0.01957,-0.0323
0.0,0.1566,0.02052,-0.0497
1.0,0.3428,0.02037,-0.0636
2.0,0.4798,0.01994,-0.0661
3.0,0.5969,0.01961,-0.0638
4.0,0.7001,0.01986,-0.0592
5.0,0.8022,0.02034,-0.0545
6.0,0.8939,0.02095,-0.0481
7.0,0.9692,0.02209,-0.04
8.0,1.0192,0.02584,-0.0296
9.0,1.093,0.03203,-0.0241
10.0,1.18,0.0394,-0.0211
