alpha,Cl,Cd,Cm
-15.000000,-0.659908,0.187692,0.136200
-14.000000,-0.657188,0.174574,0.124600
-13.000000,-0.646696,0.157717,0.111900
-12.000000,-0.655845,0.146152,0.103800
-11.000000,-0.653030,0.129279,0.093000
-10.000000,-0.649191,0.112134,0.082000
-9.000000,-0.644824,0.093423,0.069700
-8.000000,-0.633905,0.073033,0.057900
-7.000000,-0.606111,0.051752,0.045800
-6.000000,-0.564329,0.032165,0.036500
-5.000000,-0.494257,0.016339,0.027100
-4.000000,-0.408882,0.005937,0.020700
-3.000000,-0.319395,-0.001086,0.017300
-2.000000,-0.222592,-0.007336,0.014900
-1.000000,-0.120216,-0.011304,0.011500
0.000000,-0.023800,-0.013100,0.008600
1.000000,0.081839,-0.012974,0.005600
2.000000,0.200217,-0.011319,0.005600
3.000000,0.331860,-0.007742,0.005000
4.000000,0.461059,-0.001943,0.004500
5.000000,0.592428,0.003748,0.004400
6.000000,0.720562,0.004645,0.004600
7.000000,0.847846,-0.009242,0.007500
8.000000,0.972944,-0.022814,0.009200
9.000000,1.085478,-0.030773,0.011600
10.000000,1.183063,-0.029309,0.011400
11.000000,1.260289,-0.020095,0.009600
12.000000,1.301998,-0.010325,0.015000
13.000000,1.292349,0.006995,0.016600
14.000000,1.214812,0.037504,0.002100
15.000000,1.087724,0.091336,-0.023500
