Alpha,Cl,Cd,Cm
-10.0,-0.5271,0.09982,-0.0332
-9.0,-0.6019,0.06745,-0.0479
-8.0,-0.7051,0.03591,-0.0401
-7.0,-0.6453,0.02902,-0.0334
-6.0,-0.5684,0.02376,-0.0285
-5.0,-0.4803,0.02027,-0.0252
-4.0,-0.3913,0.01813,-0.0228
-3.0,-0.2369,0.01662,-0.0337
-2.0,-0.0822,0.01504,-0.0421
-1.0,0.1084,0.01483,-0.0531
0.0,0.3193,0.01372,-0.0724
1.0,0.423,0.01302,-0.0694
2.0,0.5196,0.01295,-0.0647
3.0,0.6148,0.0134,-0.0601
4.0,0.7102,0.01416,-0.0559
5.0,0.8035,0.01502,-0.0513
6.0,0.8924,0.01608,-0.0463
7.0,0.9705,0.0176,-0.0401
8.0,1.0244,0.02168,-0.0313
9.0,1.0861,0.02653,-0.0243
10.0,1.1712,0.03233,-0.0213
