Alpha,Cl,Cd,Cm
-10,-0.9891,0.012,-0.0049
-9,-0.8845,0.01065,-0.0033
-8,-0.7773,0.00956,-0.0021
-7,-0.6692,0.00851,-0.001
-6,-0.5586,0.00774,-0.0004
-5,-0.4458,0.00723,-0.0002
-4,-0.3318,0.00686,-0.0002
-3,-0.217,0.00663,-0.0004
-2,-0.1025,0.0064,-0.0006
-1,0.0115,0.00677,-0.0012
0,0.1244,0.00726,-0.0016
1,0.2336,0.00675,-0.0012
2,0.3291,0.00534,0.0018
3,0.4497,0.00551,0.0002
4,0.5916,0.00606,-0.0068
5,0.7111,0.00658,-0.0089
6,0.8376,0.00705,-0.0127
7,0.963,0.00758,-0.0164
8,1.0848,0.00819,-0.0195
9,1.2032,0.00891,-0.0221
10,1.3054,0.01029,-0.0218
