Alpha,Cl,Cd,Cm
-10,-0.9781,0.01314,-0.007
-9,-0.8763,0.01148,-0.0049
-8,-0.7712,0.01009,-0.0033
-7,-0.6639,0.00898,-0.0021
-6,-0.5529,0.00833,-0.0016
-5,-0.4402,0.00786,-0.0013
-4,-0.3268,0.00746,-0.0013
-3,-0.2129,0.00708,-0.0013
-2,-0.0986,0.00676,-0.0014
-1,0.0153,0.00672,-0.0017
0,0.1271,0.00745,-0.0021
1,0.2303,0.00653,-0.0008
2,0.3337,0.00544,0.001
3,0.4728,0.00606,-0.0051
4,0.6092,0.00662,-0.0108
5,0.7323,0.0071,-0.0137
6,0.8578,0.00762,-0.0174
7,0.9827,0.00816,-0.021
8,1.1045,0.00877,-0.0241
9,1.2074,0.00946,-0.0233
10,1.2973,0.01081,-0.0202
