Alpha,Cl,Cd,Cm
-10.0,-0.5005,0.10636,-0.0251
-9.0,-0.4657,0.09303,-0.0238
-8.0,-0.4865,0.07899,-0.0264
-7.0,-0.637,0.03431,-0.035
-6.0,-0.5654,0.02725,-0.0298
-5.0,-0.4798,0.0227,-0.0261
-4.0,-0.3901,0.02008,-0.0236
-3.0,-0.3017,0.01853,-0.0217
-2.0,-0.1635,0.01732,-0.0279
-1.0,0.058,0.01778,-0.0471
0.0,0.2458,0.01746,-0.063
1.0,0.4001,0.01654,-0.0696
2.0,0.5103,0.01612,-0.0668
3.0,0.6111,0.01622,-0.0622
4.0,0.7089,0.01682,-0.0577
5.0,0.8051,0.01758,-0.0529
6.0,0.8935,0.01853,-0.0471
7.0,0.9694,0.01983,-0.0398
8.0,1.02,0.02383,-0.0301
9.0,1.0891,0.02959,-0.0242
10.0,1.1773,0.03581,-0.0214
