Alpha,Cl,Cd,Cm
-10,-0.9847,0.01243,-0.0057
-9,-0.8808,0.01103,-0.004
-8,-0.7746,0.0098,-0.0026
-7,-0.6671,0.00868,-0.0014
-6,-0.5562,0.00797,-0.0009
-5,-0.4435,0.0075,-0.0007
-4,-0.3297,0.00711,-0.0006
-3,-0.2149,0.00687,-0.0009
-2,-0.1008,0.00654,-0.001
-1,0.0132,0.00675,-0.0014
0,0.1256,0.00736,-0.0018
1,0.2325,0.00668,-0.0011
2,0.3226,0.00519,0.0034
3,0.4597,0.00577,-0.0022
4,0.5996,0.00629,-0.0086
5,0.7203,0.00681,-0.011
6,0.8462,0.00732,-0.0147
7,0.9715,0.00786,-0.0184
8,1.0932,0.00844,-0.0215
9,1.2112,0.0092,-0.024
10,1.3011,0.01058,-0.021
