Alpha,Cl,Cd,Cm
-10.0,-0.4796,0.10665,-0.0223
-9.0,-0.496,0.09119,-0.0284
-8.0,-0.5075,0.0776,-0.0283
-7.0,-0.6368,0.03368,-0.0351
-6.0,-0.5657,0.02678,-0.0297
-5.0,-0.4796,0.02236,-0.026
-4.0,-0.3901,0.01982,-0.0235
-3.0,-0.3018,0.01836,-0.0217
-2.0,-0.1526,0.0171,-0.0298
-1.0,0.0738,0.01748,-0.0496
0.0,0.2589,0.01697,-0.0649
1.0,0.4077,0.016,-0.0703
2.0,0.514,0.01562,-0.0668
3.0,0.6121,0.01584,-0.062
4.0,0.7086,0.01648,-0.0573
5.0,0.8045,0.01726,-0.0526
6.0,0.894,0.01821,-0.047
7.0,0.9695,0.01953,-0.0398
8.0,1.0201,0.02358,-0.0302
9.0,1.0876,0.02915,-0.024
10.0,1.1794,0.03574,-0.0219
