Alpha,Cl,Cd,Cm
-10,-0.9514,0.01547,-0.0124
-9,-0.8569,0.01318,-0.009
-8,-0.755,0.01157,-0.0068
-7,-0.6476,0.01075,-0.0056
-6,-0.5372,0.01015,-0.005
-5,-0.4265,0.00948,-0.0044
-4,-0.3155,0.00882,-0.0038
-3,-0.2024,0.00846,-0.0037
-2,-0.0913,0.00767,-0.0031
-1,0.022,0.00727,-0.003
1,0.2128,0.00551,0.003
2,0.3746,0.00661,-0.0079
4,0.6565,0.00779,-0.0214
5,0.7847,0.00824,-0.0255
6,0.8988,0.0088,-0.0268
7,0.9978,0.0094,-0.0248
8,1.0952,0.01007,-0.0226
9,1.1905,0.01086,-0.0202
10,1.2831,0.01178,-0.0174
