Alpha,Cl,Cd,Cm
-10.0,-0.5022,0.112,-0.0224
-9.0,-0.4513,0.09695,-0.0197
-8.0,-0.4771,0.08382,-0.0221
-7.0,-0.6302,0.03841,-0.0362
-6.0,-0.5634,0.03029,-0.0308
-5.0,-0.4801,0.02492,-0.0268
-4.0,-0.3909,0.02174,-0.0239
-3.0,-0.3023,0.01971,-0.0216
-2.0,-0.2205,0.0184,-0.0169
-1.0,-0.0293,0.0195,-0.0328
0.0,0.1614,0.02039,-0.0504
1.0,0.3471,0.02017,-0.0641
2.0,0.4819,0.01974,-0.0662
3.0,0.5972,0.01946,-0.0636
4.0,0.7007,0.01969,-0.0591
5.0,0.8015,0.02024,-0.0543
6.0,0.8936,0.02084,-0.048
7.0,0.9692,0.02197,-0.04
8.0,1.0192,0.02575,-0.0296
9.0,1.0932,0.03192,-0.0242
10.0,1.1812,0.03925,-0.0213
