Alpha,Cl,Cd,Cm
-10.0,-0.4602,0.11366,-0.0152
-9.0,-0.4407,0.09987,-0.0162
-8.0,-0.4433,0.08716,-0.0169
-7.0,-0.6224,0.04245,-0.0369
-6.0,-0.5613,0.03309,-0.0314
-5.0,-0.4807,0.0269,-0.0272
-4.0,-0.3929,0.02325,-0.024
-3.0,-0.3037,0.02075,-0.0213
-2.0,-0.2273,0.01921,-0.0141
-1.0,-0.1047,0.02028,-0.0195
0.0,0.0951,0.0224,-0.0405
1.0,0.2832,0.02333,-0.0561
2.0,0.4383,0.02345,-0.0631
3.0,0.5758,0.02294,-0.0643
4.0,0.6883,0.02284,-0.0606
5.0,0.7925,0.02311,-0.0555
6.0,0.8892,0.02324,-0.0487
7.0,0.9691,0.0241,-0.0404
8.0,1.0204,0.02756,-0.0295
9.0,1.0971,0.03415,-0.0244
10.0,1.1845,0.0426,-0.0215
